소상공인_상호명,업종,광고회사_이름,광고_키워드,유사도점수,소상공인_주소,소상공인_업종대분류,소상공인_업종중분류,소상공인_업종소분류,광고회사_주소,거리_km,거리기반_점수,최종추천점수
대원상회,음/식료품소매,케이이씨씨,sns,15.1,서울특별시 동작구 노량진동 13-8,소매,음/식료품소매,건어물상,서울특별시 강남구 강남대로 560 ,7.058,85.9,43.4
대박환경,세탁/가사서비스,이노션,자동차,20.9,서울특별시 금천구 시흥동 984,생활서비스,세탁/가사서비스,청소/소독,서울특별시 강남구 강남대로 308  (역삼동) 랜드마크타워,11.772,76.5,43.1
파인생활건강,,미디어브랜즈코리아식회사,마케팅 브랜딩 조사,13.8,서울특별시 관악구 봉천동 735-11,,,,서울특별시 강남구 봉은사로2길 31 ,7.178,85.6,42.5
전주익산,한식,케이이씨씨,sns,15.8,서울특별시 관악구 신림동 1640-31,음식,한식,한식/백반/한정식,서울특별시 강남구 강남대로 560 ,8.683,82.6,42.5
참다한홍삼,건강/미용식품,어썸메이크,화장품,21.1,서울특별시 양천구 목동 907-7,소매,건강/미용식품,인삼제품판매,서울특별시 강남구 강남대로146길 7 ,13.007,74.0,42.3
천지식품,음/식료품소매,케이이씨씨,sns,15.1,서울특별시 관악구 신림동 541,소매,음/식료품소매,식료품점,서울특별시 강남구 강남대로 560 ,8.683,82.6,42.1
미자,분식,케이이씨씨,sns,14.0,서울특별시 관악구 신림동 1640-31,음식,분식,라면김밥분식,서울특별시 강남구 강남대로 560 ,8.683,82.6,41.4
그린퓨전,한식,케이이씨씨,sns,15.8,서울특별시 영등포구 대림동 689,음식,한식,한식/백반/한정식,서울특별시 강남구 강남대로 560 ,10.878,78.2,40.8
희원비지니스,유흥주점,케이이씨씨,sns,13.0,서울특별시 관악구 신림동 1425-29,음식,유흥주점,기타일반유흥주점,서울특별시 강남구 강남대로 560 ,8.683,82.6,40.8
남선푸드,음/식료품소매,케이이씨씨,sns,15.1,서울특별시 영등포구 영등포동4가 442,소매,음/식료품소매,반찬가게,서울특별시 강남구 강남대로 560 ,10.417,79.2,40.7
카페숨,커피점/카페,케이이씨씨,sns,10.0,서울특별시 동작구 상도동 463-11,음식,커피점/카페,커피전문점/카페/다방,서울특별시 강남구 강남대로 560 ,6.977,86.0,40.4
바이칼허브,건강/미용식품,어썸메이크,화장품,21.1,서울특별시 강서구 화곡동 894-19,소매,건강/미용식품,건강식품판매,서울특별시 강남구 강남대로146길 7 ,15.673,68.7,40.1
하나롤,분식,케이이씨씨,sns,14.0,서울특별시 영등포구 영등포동4가 434-5,음식,분식,스낵,서울특별시 강남구 강남대로 560 ,10.417,79.2,40.1
소비자지킴이봉사단,한식,케이이씨씨,sns,15.8,서울특별시 구로구 구로동 621-8,음식,한식,한식/백반/한정식,서울특별시 강남구 강남대로 560 ,12.242,75.5,39.7
통큰한방화장품,화장품소매,한피알,마케팅 브랜딩 조사,1.6,서울특별시 성동구 성수동2가 300-6,소매,화장품소매,화장품판매점,서울특별시 강남구 압구정로72길 21 ,1.902,96.2,39.4
아리수식품,음/식료품소매,케이이씨씨,sns,15.1,서울특별시 구로구 신도림동 692,소매,음/식료품소매,식료품점,서울특별시 강남구 강남대로 560 ,12.242,75.5,39.3
아리따움,화장품소매,한피알,마케팅 브랜딩 조사,1.6,서울특별시 성동구 성수동2가 273-19,소매,화장품소매,화장품판매점,서울특별시 강남구 압구정로72길 21 ,2.204,95.6,39.2
베스트호프,유흥주점,케이이씨씨,sns,13.0,서울특별시 영등포구 대림동 864-10,음식,유흥주점,호프/맥주,서울특별시 강남구 강남대로 560 ,10.878,78.2,39.1
김밥천국,분식,케이이씨씨,sns,14.0,서울특별시 금천구 독산동 291-5,음식,분식,라면김밥분식,서울특별시 강남구 강남대로 560 ,11.928,76.1,38.8
사과나무,분식,케이이씨씨,sns,14.0,서울특별시 금천구 가산동 60-24,음식,분식,라면김밥분식,서울특별시 강남구 강남대로 560 ,12.6,74.8,38.3
GS25동작서림,종합소매점,미디어브랜즈코리아식회사,마케팅 브랜딩 조사,3.0,서울특별시 동작구 사당동 252-17,소매,종합소매점,편의점,서울특별시 강남구 봉은사로2길 31 ,5.143,89.7,37.7
허니문폐백이바지,식품가공/제조,케이이씨씨,sns,12.1,서울특별시 금천구 독산동 880-24,제조,식품가공/제조,종합식품제조,서울특별시 강남구 강남대로 560 ,11.928,76.1,37.7
케이투디,식품가공/제조,케이이씨씨,sns,12.1,서울특별시 구로구 구로동 636-89,제조,식품가공/제조,종합식품제조,서울특별시 강남구 강남대로 560 ,12.242,75.5,37.5
대치떡방,식품가공/제조,케이이씨씨,sns,12.1,서울특별시 구로구 구로동 3-25,제조,식품가공/제조,종합식품제조,서울특별시 강남구 강남대로 560 ,12.242,75.5,37.5
우리에프엔지,식품가공/제조,케이이씨씨,sns,12.1,서울특별시 구로구 구로동 188-26,제조,식품가공/제조,종합식품제조,서울특별시 강남구 강남대로 560 ,12.242,75.5,37.5
대원제약,은행,한피알,마케팅 브랜딩 조사,1.2,서울특별시 성동구 용답동 229-3,금융,은행,은행,서울특별시 강남구 압구정로72길 21 ,4.114,91.8,37.4
로데오축산,음/식료품소매,케이이씨씨,sns,15.1,서울특별시 양천구 신정동 883,소매,음/식료품소매,육류소매,서울특별시 강남구 강남대로 560 ,14.963,70.1,37.1
박준뷰티랩,이/미용/건강,미디어브랜즈코리아식회사,마케팅 브랜딩 조사,1.6,서울특별시 동작구 사당동 1031-27,생활서비스,이/미용/건강,비만/피부관리,서울특별시 강남구 봉은사로2길 31 ,5.143,89.7,36.8
미녀의탄생,이/미용/건강,한피알,마케팅 브랜딩 조사,1.6,서울특별시 동대문구 장안동 336,생활서비스,이/미용/건강,비만/피부관리,서울특별시 강남구 압구정로72길 21 ,5.425,89.2,36.6
싱싱포차,한식,케이이씨씨,sns,15.8,서울특별시 구로구 오류동 36-1,음식,한식,한식/백반/한정식,서울특별시 강남구 강남대로 560 ,16.395,67.2,36.4
고봉민김밥,분식,케이이씨씨,sns,14.0,서울특별시 양천구 신정동 323-17,음식,분식,라면김밥분식,서울특별시 강남구 강남대로 560 ,14.963,70.1,36.4
GS25보라매타운점,종합소매점,미디어브랜즈코리아식회사,마케팅 브랜딩 조사,3.0,서울특별시 관악구 봉천동 729-24,소매,종합소매점,편의점,서울특별시 강남구 봉은사로2길 31 ,7.178,85.6,36.0
GS25관악로점,종합소매점,미디어브랜즈코리아식회사,마케팅 브랜딩 조사,3.0,서울특별시 관악구 봉천동 851-3,소매,종합소매점,편의점,서울특별시 강남구 봉은사로2길 31 ,7.178,85.6,36.0
시드니,유흥주점,케이이씨씨,sns,13.0,서울특별시 양천구 신정동 117-36,음식,유흥주점,룸살롱/단란주점,서울특별시 강남구 강남대로 560 ,14.963,70.1,35.8
슈크레동목동,제과제빵떡케익,케이이씨씨,sns,12.1,서울특별시 양천구 신정동 323-7,음식,제과제빵떡케익,제과점,서울특별시 강남구 강남대로 560 ,14.963,70.1,35.3
롯데리아,패스트푸드,케이이씨씨,sns,12.1,서울특별시 양천구 신정동 1190-3,음식,패스트푸드,패스트푸드,서울특별시 강남구 강남대로 560 ,14.963,70.1,35.3
두드림,화장품소매,한피알,마케팅 브랜딩 조사,1.6,서울특별시 중랑구 중화동 450,소매,화장품소매,화장품판매점,서울특별시 강남구 압구정로72길 21 ,8.48,83.0,34.2
호텔베르누이,양식,케이이씨씨,sns,11.6,서울특별시 구로구 오류동 31-277,음식,양식,정통양식/경양식,서울특별시 강남구 강남대로 560 ,16.395,67.2,33.8
우리이발관,이/미용/건강,미디어브랜즈코리아식회사,마케팅 브랜딩 조사,1.6,서울특별시 금천구 독산동 898-21,생활서비스,이/미용/건강,남성미용실,서울특별시 강남구 봉은사로2길 31 ,11.985,76.0,31.4
동일중학교,학교,미디어브랜즈코리아식회사,마케팅 브랜딩 조사,1.3,서울특별시 금천구 시흥동 100-4,학문/교육,학교,중학교,서울특별시 강남구 봉은사로2길 31 ,11.918,76.2,31.3
동화인터내셔널,유아교육,미디어브랜즈코리아식회사,마케팅 브랜딩 조사,1.3,서울특별시 금천구 독산동 291-1,학문/교육,유아교육,동화구연,서울특별시 강남구 봉은사로2길 31 ,11.985,76.0,31.2
위드유,대행업,미디어브랜즈코리아식회사,마케팅 브랜딩 조사,1.2,서울특별시 금천구 시흥동 998,생활서비스,대행업,사무대리서비스,서울특별시 강남구 봉은사로2길 31 ,11.918,76.2,31.2
