상호명,주소,업종대분류,업종중분류,업종소분류,위도,경도
티엔유스킨,서울특별시 동작구 흑석동 182-5,생활서비스,이/미용/건강,비만/피부관리,37.5064393,126.963687
뽕뜨락카페,서울특별시 강동구 암사동 512-22,음식,커피점/카페,커피전문점/카페/다방,37.5582352,127.1308542
미광,서울특별시 서초구 양재동 223,도매/유통/무역,무역업,농축산물무역,37.46838,127.0361
7272떡볶이,서울특별시 광진구 화양동 94-60,음식,한식,한식/백반/한정식,37.54408,127.06895
강과장,서울특별시 금천구 가산동 371-28,생활서비스,이/미용/건강,비만/피부관리,37.4753252,126.8863954
조은날,서울특별시 중랑구 묵동 294-54,음식,유흥주점,호프/맥주,37.61083,127.08109
비지에프리테일덕성여대학생회관점,서울특별시 도봉구 쌍문동 419,소매,종합소매점,편의점,37.65347,127.02715
죽이야기,서울특별시 종로구 평창동 158-1,음식,한식,한식/백반/한정식,37.6159731,126.9676478
케이프라이드,서울특별시 마포구 성산동 515,제조,식품가공/제조,종합식품제조,37.56775,126.90263
삼성제약헬스케어,서울특별시 강남구 역삼동 747-19,제조,제약업,제약업-기타,37.49988,127.03856
수상한막창,서울특별시 동대문구 답십리동 260-1,제조,식품가공/제조,종합식품제조,37.57002,127.05467
배고프면요기,서울특별시 금천구 독산동 378-237,음식,분식,라면김밥분식,,
두영에프앤디,서울특별시 서초구 반포동 19-3,제조,식품가공/제조,종합식품제조,37.50312,127.0014
스무디킹,서울특별시 도봉구 방학동 717-6,음식,커피점/카페,커피전문점/카페/다방,37.66442,127.03333
명암산채,서울특별시 노원구 월계동 333-1,제조,식품가공/제조,종합식품제조,37.6289,127.0567
대양수산,서울특별시 송파구 가락동 600,도매/유통/무역,수산물도매,수산물도매-종합,37.49672,127.11744
삼해푸드,서울특별시 성북구 길음동 20-1,소매,음/식료품소매,반찬가게,37.6085308,127.0201946
롯데슈퍼,서울특별시 노원구 중계동 515-2,소매,종합소매점,수퍼마켓,37.64802,127.07678
수네일,서울특별시 관악구 신림동 1421-9,생활서비스,이/미용/건강,발/네일케어,37.4868283,126.9282666
마고,서울특별시 강서구 내발산동 720-11,음식,제과제빵떡케익,제과점,37.5539189,126.8377194
홈플러스,서울특별시 관악구 남현동 612-51,제조,식품가공/제조,종합식품제조,37.4715479,126.9764934
세븐일레븐,서울특별시 구로구 고척동 339-1,소매,종합소매점,편의점,37.5034631,126.8585846
미녀의탄생,서울특별시 동대문구 장안동 336,생활서비스,이/미용/건강,비만/피부관리,37.57105,127.06806
동해식품,서울특별시 송파구 문정동 150-2,제조,식품가공/제조,종합식품제조,37.48434,127.12246
동해의료기,서울특별시 영등포구 대림동 706-4,소매,의약/의료품소매,의료용품소매,37.4957573,126.899936
롯데리아면목중앙점,서울특별시 중랑구 면목동 126-39,음식,패스트푸드,패스트푸드,37.58178,127.09034
피부카페,서울특별시 동작구 흑석동 55-7,생활서비스,이/미용/건강,비만/피부관리,37.5064393,126.963687
상상마트,서울특별시 도봉구 방학동 275,소매,종합소매점,수퍼마켓,37.66442,127.03333
명암산채,서울특별시 강남구 역삼동 755,제조,식품가공/제조,종합식품제조,37.49988,127.03856
동해식품,서울특별시 동대문구 전농동 591-53,제조,식품가공/제조,종합식품제조,37.5806,127.05543
리네일,서울특별시 용산구 도원동 23,생활서비스,이/미용/건강,발/네일케어,37.53857,126.95576
한신마트,서울특별시 중랑구 면목동 1077-1,소매,종합소매점,할인점,37.58178,127.09034
신원씨푸드,서울특별시 관악구 봉천동 729-22,소매,음/식료품소매,반찬가게,37.484665,126.9484961
피에스타PC방,서울특별시 강동구 상일동 259,관광/여가/오락,PC/오락/당구/볼링등,인터넷PC방,37.55073,127.1704
피자스쿨,서울특별시 서초구 우면동 66-1,음식,한식,한식/백반/한정식,37.4647545,127.0188666
헤어바이쥬디,서울특별시 관악구 신림동 1555,생활서비스,이/미용/건강,여성미용실,37.4868283,126.9282666
태후사랑,서울특별시 동작구 상도동 333-2,생활서비스,이/미용/건강,남성미용실,37.4988159,126.9441045
네네치킨,서울특별시 강남구 논현동 138-19,음식,닭/오리요리,후라이드/양념치킨,37.5123018,127.0294935
민낯,서울특별시 관악구 봉천동 196-96,소매,화장품소매,화장품판매점,,
퀸즈,서울특별시 강북구 미아동 84-54,소매,화장품소매,화장품판매점,37.628995,127.0257543
CU,서울특별시 서대문구 신촌동 134,소매,종합소매점,편의점,37.5662284,126.9429198
허브PCClub,서울특별시 강북구 번동 229-9,관광/여가/오락,PC/오락/당구/볼링등,인터넷PC방,37.62929,127.03684
두나미스커피,서울특별시 서초구 방배동 872-6,음식,커피점/카페,커피전문점/카페/다방,37.4798789,126.9939103
위드미,서울특별시 양천구 신월동 331-101,소매,종합소매점,편의점,37.52782,126.83692
모범이용원,서울특별시 강남구 역삼동 730-4,생활서비스,이/미용/건강,남성미용실,37.49988,127.03856
CU,서울특별시 성동구 금호동2가 464,소매,종합소매점,편의점,37.55311,127.0211
롯데리아,서울특별시 양천구 신정동 1190-3,음식,패스트푸드,패스트푸드,37.5162407,126.8521196
미네일,서울특별시 강남구 역삼동 706-20,생활서비스,이/미용/건강,발/네일케어,37.49988,127.03856
커피나무,서울특별시 양천구 목동 535-11,제조,식품가공/제조,종합식품제조,37.53608,126.87585
CU방배이수역점,서울특별시 서초구 방배동 1457,소매,종합소매점,편의점,37.4798789,126.9939103
이광진순두부양념,서울특별시 강남구 도곡동 959-21,음식,한식,순두부전문,37.4878395,127.0438569
동해식품,서울특별시 광진구 자양동 227-342,제조,식품가공/제조,종합식품제조,37.5329735,127.0727409
동해식품,서울특별시 노원구 상계동 713,제조,식품가공/제조,종합식품제조,37.66727,127.07242
컬투치킨,서울특별시 마포구 합정동 197-4,생활서비스,기타서비스업,사업경영상담,37.5477846,126.9095636
빈스코드,서울특별시 중랑구 상봉동 500,음식,한식,한식/백반/한정식,37.60002,127.09283
엔제리너스,서울특별시 동작구 사당동 708-435,음식,커피점/카페,커피전문점/카페/다방,,
빅센피씨방,서울특별시 동대문구 답십리동 246-23,관광/여가/오락,PC/오락/당구/볼링등,인터넷PC방,37.57002,127.05467
GS25,서울특별시 강남구 논현동 199-24,소매,종합소매점,편의점,37.5123018,127.0294935
에스헤어,서울특별시 도봉구 쌍문동 143-7,생활서비스,이/미용/건강,여성미용실,37.65347,127.02715
방실방실이,서울특별시 송파구 가락동 74-4,음식,커피점/카페,커피전문점/카페/다방,37.49672,127.11744
하드투포겟,서울특별시 서대문구 대현동 142-17,음식,한식,한식/백반/한정식,37.56058,126.94496
은하수산,서울특별시 송파구 신천동 29,제조,식품가공/제조,종합식품제조,37.5184928,127.1030779
몽블랑제,서울특별시 강서구 내발산동 750-10,음식,제과제빵떡케익,제과점,37.5539189,126.8377194
어바웃,서울특별시 용산구 용산동2가 22-12,음식,일식/수산물,음식점-일식,37.54305,126.98558
우리이발관,서울특별시 금천구 독산동 898-21,생활서비스,이/미용/건강,남성미용실,37.468399,126.8979571
세븐일레븐대치동일점,서울특별시 강남구 대치동 1004,소매,종합소매점,편의점,37.49882,127.06566
GS25대림자이,서울특별시 영등포구 대림동 1121,소매,종합소매점,편의점,37.4957573,126.899936
에이치에비뉴호텔역삼,서울특별시 강남구 역삼동 678-14,음식,한식,한식/백반/한정식,37.49988,127.03856
못난이꽈배기,서울특별시 송파구 잠실동 40-1,제조,식품가공/제조,종합식품제조,37.5122807,127.0855986
양남식품,서울특별시 영등포구 양평동1가 9-1,소매,음/식료품소매,식료품점,37.52309,126.88868
롯데리아군자점,서울특별시 광진구 군자동 478-5,음식,패스트푸드,패스트푸드,37.5532345,127.071936
CU,서울특별시 마포구 서교동 394-45,소매,종합소매점,편의점,37.5550711,126.9238244
박준뷰티랩,서울특별시 동작구 사당동 1031-27,생활서비스,이/미용/건강,비만/피부관리,37.4856963,126.9723525
어사랑밥상,서울특별시 성동구 도선동 80,음식,한식,한식/백반/한정식,37.56322,127.03311
미니,서울특별시 서초구 반포동 816,음식,양식,정통양식/경양식,37.50312,127.0014
전주익산,서울특별시 관악구 신림동 1640-31,음식,한식,한식/백반/한정식,37.4868283,126.9282666
간단하지만특별한화피디Cafe,서울특별시 송파구 문정동 634,음식,커피점/카페,커피전문점/카페/다방,37.48434,127.12246
CU,서울특별시 도봉구 창동 814,소매,종합소매점,편의점,37.64643,127.04326
CU,서울특별시 강동구 천호동 28-28,소매,종합소매점,편의점,37.54294,127.12733
로디스,서울특별시 종로구 신문로2가 89-27,도매/유통/무역,연료도매,액체연료/관련제품도매-종합,37.57073,126.96859
서울매점,서울특별시 동대문구 청량리동 40-9,소매,종합소매점,수퍼마켓,37.5882073,127.0462518
살롱드소피,서울특별시 종로구 내수동 72,생활서비스,이/미용/건강,비만/피부관리,37.57294,126.9718
헤어마지코,서울특별시 강남구 신사동 658,생활서비스,이/미용/건강,여성미용실,37.5223206,127.0277019
온네아,서울특별시 용산구 이태원동 96-38,제조,식품가공/제조,건강식품제조,37.53842,126.992
리앤주,서울특별시 동대문구 이문동 78-24,소매,취미/오락관련소매,완구점,37.60021,127.06124
COCOS,서울특별시 중구 초동 55,소매,종합소매점,수퍼마켓,37.56431,126.99195
개성인삼,서울특별시 동대문구 제기동 1015,제조,식품가공/제조,종합식품제조,37.58465,127.03678
위드미노원공릉점,서울특별시 노원구 공릉동 350-22,소매,종합소매점,편의점,37.63021,127.08818
스타뷰티,서울특별시 강남구 역삼동 707-34,생활서비스,이/미용/건강,비만/피부관리,37.49988,127.03856
릴렉스,서울특별시 서초구 잠원동 22-13,생활서비스,이/미용/건강,발/네일케어,37.5182544,127.0124028
고봉민김밥,서울특별시 양천구 신정동 323-17,음식,분식,라면김밥분식,37.5162407,126.8521196
테이스티나인,서울특별시 강남구 압구정동 429,제조,식품가공/제조,종합식품제조,37.5300432,127.0313346
해원에스디,서울특별시 영등포구 영등포동8가 62-1,제조,식품가공/제조,종합식품제조,37.52872,126.90411
경호식당,서울특별시 양천구 신월동 913-1,음식,한식,한식/백반/한정식,37.52782,126.83692
위드미중구소공점,서울특별시 중구 소공동 86-6,소매,종합소매점,편의점,37.5636592,126.9794961
현대그린푸드,서울특별시 강남구 압구정동 429,음식,분식,라면김밥분식,37.5300432,127.0313346
다복집,서울특별시 종로구 예지동 151-2,음식,한식,한식/백반/한정식,37.5695591,126.9982556
떡볶이샵,서울특별시 양천구 목동 315-19,음식,분식,라면김밥분식,37.53608,126.87585
법인드림푸드,서울특별시 영등포구 신길동 171-9,제조,식품가공/제조,종합식품제조,,
